"alignment_key","book_id","chapter","verse","alignment_num","origWordsText","origWordsCount","origWordsBetween","targetWordsText","targetWordsCount","targetWordsBetween","alignmentText","alignmentTxtFrequency","originalWord","lemma","strong"
9395,"mat","18","8","29","τὸ αἰώνιον",2,0,"eternal",1,0,"τὸ αἰώνιον = eternal",4.444444444444445,"αἰώνιον","αἰώνιος","G01660"
10116,"mat","19","16","11","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
10345,"mat","19","29","24","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
14206,"mat","25","41","13","τὸ αἰώνιον",2,0,"eternal",1,0,"τὸ αἰώνιον = eternal",4.444444444444445,"αἰώνιον","αἰώνιος","G01660"
14300,"mat","25","46","3","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
14306,"mat","25","46","9","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
22746,"mrk","10","17","18","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
22974,"mrk","10","30","27","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
35377,"luk","10","25","13","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
40932,"luk","18","18","12","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
41107,"luk","18","30","14","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
47379,"jhn","3","15","6","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
47402,"jhn","3","16","21","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
47734,"jhn","3","36","5","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
47983,"jhn","4","14","27","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
48309,"jhn","4","36","7","αἰώνιον",1,0,"everlasting",1,0,"αἰώνιον = everlasting",6.666666666666667,"αἰώνιον","αἰώνιος","G01660"
48986,"jhn","5","24","13","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
49247,"jhn","5","39","9","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
49781,"jhn","6","27","10","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
50005,"jhn","6","40","18","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
50119,"jhn","6","47","6","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
50228,"jhn","6","54","8","αἰώνιον",1,0,"everlasting",1,0,"αἰώνιον = everlasting",6.666666666666667,"αἰώνιον","αἰώνιος","G01660"
53236,"jhn","10","28","3","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
54726,"jhn","12","25","15","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
57384,"jhn","17","2","13","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
69105,"act","13","48","16","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
78989,"rom","2","7","13","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
80405,"rom","5","21","13","αἰώνιον",1,0,"everlasting",1,0,"αἰώνιον = everlasting",6.666666666666667,"αἰώνιον","αἰώνιος","G01660"
80728,"rom","6","22","16","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
92829,"2co","4","17","8","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
92866,"2co","5","1","14","αἰώνιον",1,0,"an eternal",2,0,"αἰώνιον = an eternal",2.2222222222222223,"αἰώνιον","αἰώνιος","G01660"
97924,"gal","6","8","22","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
105139,"2th","1","9","3","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
106027,"1ti","1","16","20","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
107345,"1ti","6","16","18","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
109500,"phm","1","15","11","αἰώνιον",1,0,"forever",1,0,"αἰώνιον = forever",2.2222222222222223,"αἰώνιον","αἰώνιος","G01660"
117476,"1pe","5","10","10","τὴν αἰώνιον αὐτοῦ δόξαν",4,0,"his eternal glory",3,0,"τὴν αἰώνιον αὐτοῦ δόξαν = his eternal glory",2.2222222222222223,"αἰώνιον","αἰώνιος","G01660"
117694,"2pe","1","11","10","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
118593,"1jn","1","2","11","τὴν αἰώνιον",2,0,"eternal",1,0,"τὴν αἰώνιον = eternal",4.444444444444445,"αἰώνιον","αἰώνιος","G01660"
119223,"1jn","2","25","8","τὴν αἰώνιον",2,0,"eternal",1,0,"τὴν αἰώνιον = eternal",4.444444444444445,"αἰώνιον","αἰώνιος","G01660"
119557,"1jn","3","15","10","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
120293,"1jn","5","11","7","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
120324,"1jn","5","13","7","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
121308,"jud","1","21","14","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
126461,"rev","14","6","9","αἰώνιον",1,0,"eternal",1,0,"αἰώνιον = eternal",77.77777777777779,"αἰώνιον","αἰώνιος","G01660"
10,"mat","1","2","1","ἐγέννησεν",1,0,"became the father",3,0,"ἐγέννησεν = became the father",92.85714285714286,"ἐγέννησεν","γεννάω","G10800"
14,"mat","1","2","5","ἐγέννησεν",1,0,"became the father",3,0,"ἐγέννησεν = became the father",92.85714285714286,"ἐγέννησεν","γεννάω","G10800"
18,"mat","1","2","9","ἐγέννησεν",1,0,"became the father",3,0,"ἐγέννησεν = became the father",92.85714285714286,"ἐγέννησεν","γεννάω","G10800"
24,"mat","1","3","1","ἐγέννησεν",1,0,"became the father",3,0,"ἐγέννησεν = became the father",92.85714285714286,"ἐγέννησεν","γεννάω","G10800"
32,"mat","1","3","9","ἐγέννησεν",1,0,"became the father",3,0,"ἐγέννησεν = became the father",92.85714285714286,"ἐγέννησεν","γεννάω","G10800"
36,"mat","1","3","13","ἐγέννησεν",1,0,"became the father",3,0,"ἐγέννησεν = became the father",92.85714285714286,"ἐγέννησεν","γεννάω","G10800"
39,"mat","1","4","1","ἐγέννησεν",1,0,"became the father",3,0,"ἐγέννησεν = became the father",92.85714285714286,"ἐγέννησεν","γεννάω","G10800"
43,"mat","1","4","5","ἐγέννησεν",1,0,"became the father",3,0,"ἐγέννησεν = became the father",92.85714285714286,"ἐγέννησεν","γεννάω","G10800"
47,"mat","1","4","9","ἐγέννησεν",1,0,"became the father",3,0,"ἐγέννησεν = became the father",92.85714285714286,"ἐγέννησεν","γεννάω","G10800"
50,"mat","1","5","1","ἐγέννησεν",1,0,"became the father",3,0,"ἐγέννησεν = became the father",92.85714285714286,"ἐγέννησεν","γεννάω","G10800"
56,"mat","1","5","7","ἐγέννησεν",1,0,"became the father",3,0,"ἐγέννησεν = became the father",92.85714285714286,"ἐγέννησεν","γεννάω","G10800"
62,"mat","1","5","13","ἐγέννησεν",1,0,"became the father",3,0,"ἐγέννησεν = became the father",92.85714285714286,"ἐγέννησεν","γεννάω","G10800"
65,"mat","1","6","1","ἐγέννησεν",1,0,"became the father",3,0,"ἐγέννησεν = became the father",92.85714285714286,"ἐγέννησεν","γεννάω","G10800"
