"lemma","count","strong","lexicon"
"Ἂβελ",4,"G00060","{'brief': 'Abel', 'long': 'Abel, second son of Adam and Eve, brother of Cain.'}"
"Ἀβιά",3,"G00070","{'brief': 'Abijah', 'long': 'Abijah, (a) a king, son of Rehoboam, (b) founder of the eighth class of priests.'}"
"Ἀβραάμ",73,"G00110","{'brief': 'Abraham', 'long': 'Abraham, progenitor of the Hebrew race.'}"
"Ἀχάζ",2,"G08810","{'brief': 'Ahaz', 'long': 'Ahaz, son of Jotham and father of Hezekiah.'}"
"Ἀνδρέας",13,"G04060","{'brief': 'Andrew', 'long': 'Andrew, brother of Simon Peter, and one of the apostles of Jesus, belonging to Bethsaida.'}"
"Ἀσάφ",2,"G07600","{'brief': 'Asa', 'long': 'Asa, son of Abijah and father of Jehoshaphat, king of Judah about 900 B.C. for 41 years.'}"
"Βαβυλών",12,"G08970","{'brief': 'Babylon', 'long': '(a) Babylon, the ancient city on the Euphrates, to which the people of Jerusalem, etc., were transported, (b) hence allegorically of Rome, from the point of view of the Christian people.'}"
"Βαραββᾶς",11,"G09120","{'brief': 'Barabbas', 'long': 'Barabbas.'}"
"Βαρθολομαῖος",4,"G09180","{'brief': 'Bartholomew', 'long': 'Bartholomew, surname of Nathanael, one of the twelve apostles of Jesus.'}"
"Βεελζεβούλ",7,"G09540","{'brief': 'Beelzebul', 'long': 'Beelzebul, a name of Satan, the chief of evil spirits.'}"
"Βηθανία",12,"G09630","{'brief': 'Bethany', 'long': '(a) Bethany, the home of Lazarus, Martha, and Mary, near Jerusalem, (b) Bethany, beyond Jordan.'}"
"Βηθλέεμ",8,"G09650","{'brief': 'Bethlehem', 'long': 'Bethlehem, a town of Judea.'}"
"Βόες",2,"G10030","{'brief': 'Boaz', 'long': 'Boaz, son of Salmon and Rahab, husband of Ruth, father of Obed.'}"
"Βόος",1,"G10030","{'brief': 'Boaz', 'long': 'Boaz, son of Salmon and Rahab, husband of Ruth, father of Obed.'}"
"Καῖσαρ",29,"G25410","{'brief': 'Caesar', 'long': 'Caesar, a surname of the gens Iulia, which became practically synonymous with the Emperor for the time being; in the Gospels it always refers to Tiberias.'}"
"σεβαστός",2,"G45750","{'brief': 'august, venerated', 'long': '(official Greek equivalent of Augustus), venerated, august, a title of the Roman emperors; hence secondarily: Augustan, imperial.'}"
"Καισάρεια",17,"G25420","{'brief': 'Caesarea', 'long': 'Two cities of Palestine: one in Galilee (Caesarea Philippi), the other on the coast of the Mediterranean.'}"
"Καϊάφας",9,"G25330","{'brief': 'Caiaphas', 'long': 'Caiaphas, Jewish high priest.'}"
